Label,Dist CenterA-CenterB,Dist min EdgeA-EdgeB,Dist min CenterA-EdgeB,Dist min EdgeA-CenterB
ObjA1_ObjB22,114.709,79.746,90.447,103.734
ObjA2_ObjB45,61.683,0.000,3.050,21.738
ObjA3_ObjB32,73.709,64.556,72.414,65.780
ObjA4_ObjB42,90.370,85.634,86.588,89.417
ObjA5_ObjB22,91.148,68.099,70.636,88.256
ObjA6_ObjB41,4.008,0.000,1.334,2.389
ObjA7_ObjB22,83.023,55.814,60.318,78.595
ObjA8_ObjB17,52.284,30.719,36.276,45.964
ObjA9_ObjB1,57.581,18.863,20.070,56.356
ObjA10_ObjB1,75.861,0.000,11.280,59.141
ObjA11_ObjB19,7.100,0.000,1.754,4.348
ObjA12_ObjB22,41.411,32.106,32.119,41.242
ObjA13_ObjB17,4.191,0.000,3.922,2.731
ObjA14_ObjB9,25.676,17.132,21.200,21.276
ObjA15_ObjB1,108.104,0.000,2.057,96.679
ObjA16_ObjB1,38.787,15.533,23.875,28.691
ObjA17_ObjB3,40.922,7.568,34.060,14.353
ObjA18_ObjB25,20.048,8.336,16.944,11.481
ObjA19_ObjB7,7.389,0.000,3.355,1.514
ObjA20_ObjB1,33.058,17.866,26.221,27.864
ObjA21_ObjB1,58.230,21.375,25.024,55.176
ObjA22_ObjB46,87.281,78.345,84.614,81.003
ObjA23_ObjB45,27.990,0.000,9.293,2.717
ObjA24_ObjB17,48.634,36.211,36.983,47.760
ObjA25_ObjB29,47.856,29.431,45.739,31.314
ObjA26_ObjB25,57.531,48.072,51.361,54.287
ObjA27_ObjB25,33.713,21.404,27.303,26.829
ObjA28_ObjB7,31.059,25.482,29.504,27.131
ObjA29_ObjB1,84.703,0.000,4.385,77.886
ObjA30_ObjB1,51.754,22.517,28.806,50.012
ObjA31_ObjB47,102.323,93.272,96.101,99.366
ObjA32_ObjB31,54.161,49.577,53.638,50.288
ObjA33_ObjB31,56.440,54.528,55.626,55.370
ObjA34_ObjB41,44.386,16.015,39.073,18.981
ObjA35_ObjB13,44.051,39.178,40.896,42.318
ObjA36_ObjB27,67.013,57.669,63.805,60.714
ObjA37_ObjB24,12.025,0.000,9.656,2.431
ObjA38_ObjB25,32.586,26.598,28.826,30.186
ObjA39_ObjB1,81.249,2.676,2.991,80.917
ObjA40_ObjB1,66.099,14.335,19.675,63.145
ObjA41_ObjB9,59.736,51.852,54.554,57.010
ObjA42_ObjB9,58.688,52.742,54.485,56.926
ObjA43_ObjB46,47.526,37.425,44.950,40.127
ObjA44_ObjB35,38.912,26.834,36.012,29.572
ObjA45_ObjB19,62.646,43.671,52.555,53.840
ObjA46_ObjB22,38.967,22.638,26.662,35.045
ObjA47_ObjB25,83.712,74.752,77.554,80.917
ObjA48_ObjB6,45.655,19.948,20.127,44.039
ObjA49_ObjB25,64.924,55.462,58.756,61.631
ObjA50_ObjB1,117.736,0.000,1.261,116.339
ObjA51_ObjB1,58.528,19.075,21.414,52.199
ObjA52_ObjB1,28.920,7.895,8.336,26.936
ObjA53_ObjB46,35.922,28.744,33.300,31.309
ObjA54_ObjB34,68.600,65.553,66.595,67.554
ObjA55_ObjB29,35.324,30.808,32.528,33.636
ObjA56_ObjB1,93.662,5.351,5.983,93.336
ObjA57_ObjB1,41.962,12.465,17.588,38.542
ObjA58_ObjB1,53.790,13.827,18.700,49.584
ObjA59_ObjB46,44.409,40.071,41.795,42.621
ObjA60_ObjB35,71.240,63.281,69.486,65.093
ObjA61_ObjB29,5.404,0.000,3.306,2.299
ObjA62_ObjB7,33.656,28.714,30.931,31.418
ObjA63_ObjB1,34.640,22.197,24.480,31.460
ObjA64_ObjB1,117.065,0.000,1.192,116.732
ObjA65_ObjB1,71.587,17.866,19.259,70.674
ObjA66_ObjB1,39.065,16.015,18.455,34.084
ObjA67_ObjB46,53.708,49.309,51.065,51.945
ObjA68_ObjB35,57.189,51.211,53.889,54.385
ObjA69_ObjB21,53.841,38.837,51.922,41.111
ObjA70_ObjB19,75.603,61.513,63.881,73.308
ObjA71_ObjB43,33.461,31.067,32.471,31.988
ObjA72_ObjB6,70.295,0.000,1.953,69.116
ObjA73_ObjB6,61.239,2.676,4.167,56.035
ObjA74_ObjB25,58.927,40.840,52.714,46.982
ObjA75_ObjB25,42.138,35.107,39.956,38.116
ObjA76_ObjB1,86.105,0.000,2.389,85.427
ObjA77_ObjB1,45.990,19.261,21.556,42.502
ObjA78_ObjB1,63.032,0.000,3.616,57.448
ObjA79_ObjB6,59.028,0.000,1.892,57.485
ObjA80_ObjB29,43.176,38.956,41.556,40.651
ObjA81_ObjB7,34.046,29.027,30.748,32.208
ObjA82_ObjB1,74.417,2.676,2.558,71.452
ObjA83_ObjB6,74.058,2.676,2.779,72.583
ObjA84_ObjB1,79.665,2.676,3.864,78.014
ObjA85_ObjB1,68.829,3.784,4.221,67.994
ObjA86_ObjB35,60.467,48.484,57.059,52.567
ObjA87_ObjB35,76.457,68.247,69.797,74.885
ObjA88_ObjB27,67.675,62.730,66.155,64.340
ObjA89_ObjB21,69.502,65.787,67.767,67.642
ObjA90_ObjB28,32.364,28.211,30.615,29.864
ObjA91_ObjB43,64.120,50.918,59.875,55.306
ObjA92_ObjB7,51.851,43.210,48.560,46.367
ObjA93_ObjB7,49.428,42.542,45.850,46.120
ObjA94_ObjB1,79.522,2.676,2.734,78.561
ObjA95_ObjB1,84.092,0.000,2.412,81.353
ObjA96_ObjB46,41.405,35.554,38.926,37.948
ObjA97_ObjB46,48.640,43.190,46.426,45.339
ObjA98_ObjB45,78.175,3.947,5.052,73.322
ObjA99_ObjB7,59.631,54.203,56.001,57.774
ObjA100_ObjB1,74.046,0.000,0.420,70.432
ObjA101_ObjB46,18.377,13.948,15.788,16.362
ObjA102_ObjB21,39.340,29.108,36.979,31.710
ObjA103_ObjB25,60.625,55.276,56.486,59.424
ObjA104_ObjB11,56.338,23.843,31.924,48.780
ObjA105_ObjB6,56.133,2.676,3.677,54.576
ObjA106_ObjB6,54.459,3.947,4.064,54.118
ObjA107_ObjB27,79.506,67.602,78.792,68.380
ObjA108_ObjB6,52.902,3.784,4.107,52.149
ObjA109_ObjB1,59.689,2.676,4.291,58.750
ObjA110_ObjB46,56.634,51.949,54.770,53.847
ObjA111_ObjB10,71.126,65.514,65.843,70.719
ObjA112_ObjB6,68.390,2.676,3.677,67.102
ObjA113_ObjB1,61.969,2.676,2.676,61.418
ObjA114_ObjB40,68.775,62.894,67.233,64.114
ObjA115_ObjB11,52.240,34.350,36.996,48.786
ObjA116_ObjB11,63.766,42.085,51.921,54.272
ObjA117_ObjB5,9.126,0.000,6.905,1.892
ObjA118_ObjB13,49.834,39.923,45.539,44.489
ObjA119_ObjB11,0.863,0.000,4.489,3.519
ObjA120_ObjB21,74.470,48.188,72.037,50.790
ObjA121_ObjB21,60.134,54.134,57.511,56.780
ObjA122_ObjB10,1.000,0.000,0.535,1.363
ObjA123_ObjB27,66.339,62.327,65.695,63.040
ObjA124_ObjB27,68.814,56.341,66.621,58.535
ObjA125_ObjB11,66.565,48.203,55.088,60.319
ObjA126_ObjB43,59.258,53.740,58.418,55.025
ObjA127_ObjB10,60.487,54.265,54.903,59.808
ObjA128_ObjB15,42.279,35.412,39.203,38.325
ObjA129_ObjB15,54.835,44.826,50.843,48.564
ObjA130_ObjB40,72.897,68.067,70.056,70.981
ObjA131_ObjB15,57.859,53.455,55.665,55.575
ObjA132_ObjB5,63.134,53.205,59.052,57.406
ObjA133_ObjB40,76.048,70.436,72.997,73.463
ObjA134_ObjB15,60.127,53.155,57.166,56.128
ObjA135_ObjB15,76.135,65.505,73.152,68.276
ObjA136_ObjB40,82.599,79.174,79.553,82.197
ObjA137_ObjB15,47.322,42.843,44.808,45.335
ObjA138_ObjB15,51.575,46.681,48.647,49.428
